,SizeRank,RegionName,State,City,Metro,CountyName,AveragePrice,Down_payment_20%
3186,3187,28211,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,769977.3298083787,153995.46596167574
3229,3230,27539,NC,Apex,"Raleigh-Cary, NC",Wake County,557283.4614328094,111456.69228656188
3292,3293,27614,NC,Raleigh,"Raleigh-Cary, NC",Wake County,593184.0363465484,118636.80726930968
3312,3313,28303,NC,Fayetteville,"Fayetteville, NC",Cumberland County,183892.1867267502,36778.43734535004
3481,3482,27253,NC,,"Burlington, NC",Alamance County,258779.06223244988,51755.81244648998
3551,3553,28278,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,470443.4321794403,94088.68643588806
3626,3627,27540,NC,Holly Springs,"Raleigh-Cary, NC",Wake County,527220.0224014862,105444.00448029724
3640,3642,27545,NC,Knightdale,"Raleigh-Cary, NC",Wake County,350801.05009416054,70160.2100188321
3645,3647,28104,NC,Indian Trail,"Charlotte-Concord-Gastonia, NC-SC",Union County,536625.9768366186,107325.19536732373
3719,3721,27607,NC,Raleigh,"Raleigh-Cary, NC",Wake County,613561.2975625909,122712.25951251818
3728,3730,28752,NC,Marion,"Marion, NC",McDowell County,214440.6296500144,42888.12593000288
3781,3783,28031,NC,Cornelius,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,527797.5442632606,105559.50885265211
3794,3796,28560,NC,New Bern,"New Bern, NC",Craven County,224387.13159066983,44877.42631813397
3853,3854,27104,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,345714.3918491476,69142.87836982953
3861,3862,27012,NC,Clemmons,"Winston-Salem, NC",Forsyth County,345306.5111294661,69061.30222589323
3880,3881,28001,NC,Albemarle,"Albemarle, NC",Stanly County,223540.67736252755,44708.13547250551
3896,3898,28146,NC,Salisbury,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,251071.10608406385,50214.22121681277
3947,3950,28715,NC,Candler,"Asheville, NC",Buncombe County,383957.3384996143,76791.46769992287
3962,3965,28590,NC,Winterville,"Greenville, NC",Pitt County,270917.8315420919,54183.56630841838
3967,3970,28602,NC,Hickory,"Hickory-Lenoir-Morganton, NC",Catawba County,217899.18117645255,43579.83623529051
4005,4008,28658,NC,Newton,"Hickory-Lenoir-Morganton, NC",Catawba County,219137.2172255112,43827.443445102246
4130,4133,28734,NC,Franklin,,Macon County,259161.41450973143,51832.28290194629
4145,4148,28112,NC,,"Charlotte-Concord-Gastonia, NC-SC",Union County,288707.2268950082,57741.44537900164
4146,4149,27577,NC,Smithfield,"Raleigh-Cary, NC",Johnston County,268155.99505344144,53631.19901068829
4151,4154,27804,NC,Rocky Mount,"Rocky Mount, NC",Nash County,207891.4657498824,41578.29314997648
4166,4169,27278,NC,Hillsborough,"Durham-Chapel Hill, NC",Orange County,412270.6606595418,82454.13213190837
4180,4183,28086,NC,Kings Mountain,"Shelby, NC",Cleveland County,185774.368989964,37154.8737979928
4201,4204,28328,NC,Clinton,,Sampson County,122579.33409438837,24515.866818877676
4249,4252,27597,NC,Zebulon,"Raleigh-Cary, NC",Wake County,327029.47140516684,65405.89428103337
4258,4261,27517,NC,Chapel Hill,"Durham-Chapel Hill, NC",Orange County,640511.835945106,128102.3671890212
4264,4266,27455,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,323333.56537820044,64666.71307564009
4283,4286,27028,NC,Mocksville,"Winston-Salem, NC",Davie County,233144.4779813261,46628.895596265225
